iter	Passed	Remaining
747	1067	359
748	1068	358
749	1070	356
750	1071	355
751	1072	353
752	1073	352
753	1074	350
754	1075	349
755	1077	347
756	1078	346
757	1079	344
758	1080	343
759	1081	341
760	1082	340
761	1083	338
762	1085	337
763	1086	335
764	1087	334
765	1088	332
766	1089	331
767	1090	329
768	1092	328
769	1093	326
770	1094	325
771	1095	323
772	1096	322
773	1097	320
774	1098	319
775	1100	317
776	1101	316
777	1102	314
778	1103	313
779	1104	311
780	1105	310
781	1106	308
782	1108	307
783	1109	305
784	1110	304
785	1111	302
786	1112	301
787	1113	299
788	1114	298
789	1115	296
790	1117	295
791	1118	293
792	1119	292
793	1120	290
794	1121	289
795	1122	287
796	1123	286
797	1124	284
798	1126	283
799	1127	281
800	1128	280
801	1129	278
802	1130	277
803	1132	276
804	1133	274
805	1134	273
806	1136	271
807	1137	270
808	1138	268
809	1139	267
810	1141	265
811	1142	264
812	1144	263
813	1145	261
814	1146	260
815	1148	258
816	1149	257
817	1150	255
818	1151	254
819	1152	253
820	1154	251
821	1155	250
822	1156	248
823	1157	247
824	1158	245
825	1159	244
826	1161	242
827	1162	241
828	1164	240
829	1165	238
830	1166	237
831	1167	235
832	1168	234
833	1169	232
834	1170	231
835	1171	229
836	1172	228
837	1174	226
838	1175	225
839	1176	224
840	1178	222
841	1179	221
842	1181	219
843	1182	218
844	1183	217
845	1185	215
846	1186	214
847	1188	212
848	1189	211
849	1191	210
850	1192	208
851	1193	207
852	1195	205
853	1196	204
854	1197	203
855	1198	201
856	1199	200
857	1201	198
858	1202	197
859	1203	195
860	1204	194
861	1205	193
862	1207	191
863	1208	190
864	1209	188
865	1210	187
866	1212	185
867	1213	184
868	1214	183
869	1215	181
870	1216	180
871	1217	178
872	1218	177
873	1220	175
874	1221	174
875	1223	173
876	1224	171
877	1226	170
878	1227	168
879	1228	167
880	1230	166
881	1231	164
882	1232	163
883	1233	161
884	1235	160
885	1236	159
886	1238	157
887	1239	156
888	1240	154
889	1241	153
890	1243	152
891	1244	150
892	1245	149
893	1246	147
894	1247	146
895	1248	144
896	1250	143
897	1253	142
898	1254	140
899	1255	139
900	1256	138
901	1258	136
902	1259	135
903	1260	133
904	1261	132
905	1262	131
906	1264	129
907	1265	128
908	1266	126
909	1268	125
910	1269	124
911	1270	122
912	1271	121
913	1272	119
914	1273	118
915	1275	116
916	1276	115
917	1277	114
918	1278	112
919	1279	111
920	1280	109
921	1282	108
922	1283	107
923	1284	105
924	1285	104
925	1287	102
926	1288	101
927	1289	100
928	1290	98
929	1291	97
930	1292	95
931	1293	94
932	1295	92
933	1297	91
934	1298	90
935	1299	88
936	1300	87
937	1301	86
938	1303	84
939	1304	83
940	1305	81
941	1306	80
942	1307	79
943	1308	77
944	1310	76
945	1312	74
946	1313	73
947	1314	72
948	1315	70
949	1317	69
950	1318	67
951	1319	66
952	1320	65
953	1321	63
954	1323	62
955	1324	60
956	1326	59
957	1327	58
958	1328	56
959	1329	55
960	1330	54
961	1332	52
962	1333	51
963	1334	49
964	1335	48
965	1336	47
966	1337	45
967	1338	44
968	1340	42
969	1341	41
970	1342	40
971	1344	38
972	1345	37
973	1346	35
974	1347	34
975	1348	33
976	1349	31
977	1351	30
978	1352	29
979	1353	27
980	1354	26
981	1356	24
982	1357	23
983	1358	22
984	1359	20
985	1361	19
986	1362	17
987	1363	16
988	1364	15
989	1365	13
990	1366	12
991	1367	11
992	1368	9
993	1369	8
994	1371	6
995	1372	5
996	1374	4
997	1375	2
998	1377	1
999	1378	0
